City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Bredasdorp,ZA,51.87,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
12,Thompson,CA,53.76,overcast clouds,55.7435,-97.8558,Burntwood Hotel
14,Punta Arenas,CL,39.31,few clouds,-53.15,-70.9167,Hotel Hain
23,Pangnirtung,CA,39.2,broken clouds,66.1451,-65.7125,Kilabuk Lodge
28,Husavik,IS,56.77,broken clouds,66.0449,-17.3389,Bjarnabúð
40,Luena,AO,58.96,clear sky,-11.7833,19.9167,Hotel Kandamba
42,Hobart,AU,43.27,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
45,Cherskiy,RU,48.09,scattered clouds,68.75,161.3,Gostinitsa
47,Safranbolu,TR,59.25,scattered clouds,41.2508,32.6942,GuleviSafranbolu Hotel
48,New Norfolk,AU,42.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
55,Nanortalik,GL,40.1,few clouds,60.1432,-45.2371,Hotel Kap Farvel
58,Barrow,US,42.82,clear sky,71.2906,-156.7887,King Eider Inn
61,Ushuaia,AR,33.46,scattered clouds,-54.8,-68.3,Albatross Hotel
67,Upernavik,GL,35.51,clear sky,72.7868,-56.1549,Café de Upernavik
70,Kodiak,US,53.11,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
76,Hermanus,ZA,49.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
79,Bluff,NZ,35.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
81,Mataura,NZ,35.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
90,Saldanha,ZA,58.01,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
92,Tuktoyaktuk,CA,51.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
94,Kaeo,NZ,49.32,overcast clouds,-35.1,173.7833,Bushido Lodge
95,Port Hardy,CA,51.98,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
100,Coquimbo,CL,58.73,scattered clouds,-29.9533,-71.3436,Hotel San Juan
101,Leningradskiy,RU,34.02,light snow,69.3833,178.4167,Gostinitsa
103,Tasiilaq,GL,41.16,light rain,65.6145,-37.6368,The Red House
105,Klaksvik,FO,52.72,overcast clouds,62.2266,-6.589,Airbnb rooms
109,Waipawa,NZ,49.32,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
110,Trelew,AR,53.96,overcast clouds,-43.249,-65.3051,Hotel Touring Club
112,Comodoro Rivadavia,AR,51.66,clear sky,-45.8667,-67.5,Austral Hotel
113,Rawson,AR,53.71,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
114,Tiksi,RU,32.5,overcast clouds,71.6872,128.8694,Arktika
115,Hofn,IS,51.35,overcast clouds,64.2539,-15.2082,Hótel Höfn
116,Yellowknife,CA,54.12,light intensity shower rain,62.456,-114.3525,The Explorer Hotel
118,Yulara,AU,57.76,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
125,Talnakh,RU,58.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
126,Vestmannaeyjar,IS,50.99,broken clouds,63.4427,-20.2734,Glamping & Camping
132,Mehamn,NO,40.95,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
133,Port Elizabeth,ZA,58.1,clear sky,-33.918,25.5701,39 On Nile Guest House
136,Qaanaaq,GL,36.27,few clouds,77.484,-69.3632,Qaanaaq Hotel
138,Bonavista,CA,54.79,clear sky,48.6499,-53.1147,Sweet Sharons bnb
140,Lakhdenpokhya,RU,46.47,overcast clouds,61.5198,30.1992,Rauhala Place
141,Mar Del Plata,AR,54.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
143,Lapua,FI,55.47,overcast clouds,62.9693,23.0088,Hotelli Lapuahovi Ravintola Baari
145,Port Alfred,ZA,56.95,overcast clouds,-33.5906,26.891,The Halyards Hotel
146,Powell River,CA,57.18,mist,49.8496,-124.5361,Rodmay Hotel
154,Nagorsk,RU,59.86,overcast clouds,59.3172,50.8078,Uyutnyy Dom
160,Port Lincoln,AU,53.71,clear sky,-34.7333,135.8667,Port Lincoln Hotel
163,Longyearbyen,SJ,37.24,light rain,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
165,Atemar,RU,56.05,overcast clouds,54.181,45.4091,Holiday Home on Karnishina
167,Pevek,RU,32.16,scattered clouds,69.7008,170.3133,Severnoye Zoloto
172,Xining,CN,57.81,overcast clouds,36.6167,101.7667,Super Leisure Hotel
173,Chumikan,RU,35.71,overcast clouds,54.7183,135.315,Fortuna
175,Tsabong,BW,52.97,clear sky,-26.0217,22.401,Springbok Motel
176,Vardo,NO,40.98,broken clouds,70.3705,31.1107,Vardø Hotel AS
178,Muromtsevo,RU,57.31,overcast clouds,56.3724,75.2418,Plyazh U Reki Tara
184,Alihe,CN,52.92,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
187,Novyy Urengoy,RU,58.42,overcast clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
189,Turukhansk,RU,58.95,few clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
191,Fort Nelson,CA,56.79,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
194,Terrace Bay,CA,49.6,broken clouds,48.7834,-87.1,Drifters Motel & Restaurant
195,East London,ZA,58.5,overcast clouds,-33.0153,27.9116,Tu Casa
196,Nuuk,GL,38.88,overcast clouds,64.1835,-51.7216,Vandrehuset
197,Dunedin,NZ,39.79,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
208,Nikolskoye,RU,56.88,overcast clouds,59.7035,30.7861,Tourist House - Sablino
209,Lebu,CL,51.31,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
211,Berlevag,NO,41.0,broken clouds,70.8578,29.0864,Kvitbrakka
214,Verkhnevilyuysk,RU,46.96,clear sky,63.4453,120.3167,Gostinitsa Mila
217,Kaitangata,NZ,37.4,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
219,General Roca,AR,59.63,clear sky,-39.0333,-67.5833,Hotel El Recreo
220,Qaqortoq,GL,41.83,few clouds,60.7167,-46.0333,Siniffik Inn
222,Severo-Kurilsk,RU,47.03,overcast clouds,50.6789,156.125,Kak Doma
224,Quime,BO,59.23,clear sky,-16.9833,-67.2167,Hostal Colibri
227,Flinders,AU,53.26,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
231,Igarka,RU,58.53,broken clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
233,Tawang,IN,54.09,overcast clouds,27.5833,91.8667,Hotel Mount View
234,Esperance,AU,59.2,clear sky,-33.8667,121.9,Hospitality Esperance
240,Pelym,RU,59.77,broken clouds,61.0108,61.9978,Obshchezhitiye Pelymskogo Lpumg
246,Clyde River,CA,30.43,light snow,70.4692,-68.5914,Qamaq Hotel
