City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Beringovskiy,RU,63.05,179.3167,46.42,72,15,5.55,few clouds
1,Yellowknife,CA,62.456,-114.3525,59.56,54,53,5.01,broken clouds
2,Sechura,PE,-5.5569,-80.8222,63.39,77,17,17.0,few clouds
3,New Norfolk,AU,-42.7826,147.0587,51.93,74,100,3.53,moderate rain
4,Ushuaia,AR,-54.8,-68.3,24.01,95,79,4.34,broken clouds
5,Guerrero Negro,MX,27.9769,-114.0611,66.4,73,0,18.99,clear sky
6,Butaritari,KI,3.0707,172.7902,82.71,75,20,14.07,light rain
7,Nanortalik,GL,60.1432,-45.2371,37.9,86,96,5.75,overcast clouds
8,Bredasdorp,ZA,-34.5322,20.0403,50.94,45,89,5.59,overcast clouds
9,Atuona,PF,-9.8,-139.0333,78.13,68,0,19.77,clear sky
10,Strezhevoy,RU,60.7333,77.5889,60.6,80,36,6.71,scattered clouds
11,Hambantota,LK,6.1241,81.1185,77.34,100,40,4.61,scattered clouds
12,Nantucket,US,41.2835,-70.0995,64.99,91,62,16.62,broken clouds
13,San Cristobal,VE,7.7669,-72.225,65.59,98,36,2.37,scattered clouds
14,Chokurdakh,RU,70.6333,147.9167,48.52,52,82,12.08,broken clouds
15,Hithadhoo,MV,-0.6,73.0833,81.73,74,100,9.37,overcast clouds
16,Vaini,TO,-21.2,-175.2,75.88,76,60,20.74,broken clouds
17,Tautira,PF,-17.7333,-149.15,78.8,73,45,16.06,scattered clouds
18,Pevek,RU,69.7008,170.3133,33.85,79,16,9.95,few clouds
19,Xichang,CN,27.8964,102.2634,64.45,95,100,0.47,overcast clouds
20,Georgetown,MY,5.4112,100.3354,82.33,78,20,2.3,few clouds
21,Belyy Yar,RU,53.6039,91.3903,65.86,59,0,4.47,clear sky
22,Punta Arenas,CL,-53.15,-70.9167,32.11,71,74,18.63,broken clouds
23,Busselton,AU,-33.65,115.3333,67.08,77,1,24.49,clear sky
24,Carutapera,BR,-1.195,-46.02,73.9,92,13,4.83,few clouds
25,Multai,IN,21.7667,78.25,78.26,73,99,3.87,overcast clouds
26,Ribeira Grande,PT,38.5167,-28.7,66.9,89,0,2.91,clear sky
27,Iqaluit,CA,63.7506,-68.5145,36.7,64,25,18.99,scattered clouds
28,Acajutla,SV,13.5928,-89.8275,76.15,91,100,11.27,moderate rain
29,Jamestown,US,42.097,-79.2353,75.72,87,0,8.01,clear sky
30,Kawalu,ID,-7.3817,108.2082,78.84,78,100,0.89,overcast clouds
31,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,5,7.7,clear sky
32,Hilo,US,19.7297,-155.09,79.25,80,21,5.01,few clouds
33,Saskylakh,RU,71.9167,114.0833,60.57,38,57,12.62,broken clouds
34,Pasaje,EC,-3.3333,-79.8167,72.12,92,76,1.86,broken clouds
35,Mancio Lima,BR,-7.6142,-72.8958,74.89,79,94,2.93,overcast clouds
36,Avarua,CK,-21.2078,-159.775,78.85,69,100,5.75,overcast clouds
37,Mataura,NZ,-46.1927,168.8643,46.47,71,7,2.08,clear sky
38,Tuktoyaktuk,CA,69.4541,-133.0374,48.6,55,2,10.65,clear sky
39,Shimanovsk,RU,52.0,127.7,72.79,44,100,10.27,overcast clouds
40,Albany,US,42.6001,-73.9662,68.18,83,100,7.81,overcast clouds
41,Karlovac,HR,45.4872,15.5478,62.53,95,97,0.34,overcast clouds
42,Reconquista,AR,-29.15,-59.65,59.27,97,88,6.55,overcast clouds
43,Rikitea,PF,-23.1203,-134.9692,72.5,64,64,1.68,broken clouds
44,Torbay,CA,47.6666,-52.7314,50.58,80,0,7.0,clear sky
45,Barrow,US,71.2906,-156.7887,50.02,66,0,9.22,clear sky
46,Castro,BR,-24.7911,-50.0119,55.38,85,31,3.56,scattered clouds
47,Fort Nelson,CA,58.8053,-122.7002,55.04,81,100,2.77,overcast clouds
48,Lerwick,GB,60.1545,-1.1494,55.4,96,100,13.96,overcast clouds
49,Assiniboia,CA,49.6334,-105.9845,66.16,56,7,6.33,clear sky
50,Sur,OM,22.5667,59.5289,88.75,61,74,7.23,broken clouds
51,Avera,US,33.194,-82.5271,86.05,52,7,8.25,clear sky
52,Chuy,UY,-33.6971,-53.4616,54.75,94,100,6.49,light rain
53,Tasiilaq,GL,65.6145,-37.6368,35.76,98,100,1.12,light rain
54,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,88,0,8.05,clear sky
55,Hermanus,ZA,-34.4187,19.2345,53.8,48,27,7.34,scattered clouds
56,Ponazyrevo,RU,58.3578,46.3142,53.35,88,2,4.54,clear sky
57,Palmer,US,42.1584,-72.3287,66.43,77,100,4.0,overcast clouds
58,Kapaa,US,22.0752,-159.319,78.12,80,23,8.01,few clouds
59,La Ronge,CA,55.1001,-105.2842,57.45,77,100,10.36,overcast clouds
60,Vao,NC,-22.6667,167.4833,75.97,84,100,13.11,moderate rain
61,Thompson,CA,55.7435,-97.8558,46.56,71,40,11.5,scattered clouds
62,Hasaki,JP,35.7333,140.8333,77.29,81,100,9.78,overcast clouds
63,Airai,TL,-8.9266,125.4092,69.57,64,30,4.5,scattered clouds
64,College,US,64.8569,-147.8028,71.91,53,98,1.01,overcast clouds
65,Saint-Augustin,CA,51.226,-58.6502,63.91,59,90,11.01,overcast clouds
